"","Year","OPCS","Description","FCE","Admissions","Male","Female","Gender Unknown","Emergency","Waiting list","Planned","Other Admission Method","Mean time waited","Median time waited","Mean length of stay","Median length of stay","Mean age","Age 0","Age 1-4","Age 5-9","Age 10-14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20-24","Age 25-29","Age 30-34","Age 35-39","Age 40-44","Age 45-49","Age 50-54","Age 55-59","Age 60-64","Age 65-69","Age 70-74","Age 75-79","Age 80-84","Age 85-89","Age 90+","Day case","FCE bed days","EmergencyDC","ElectiveDC","OtherDC","class1","elective","new_daycase","inpatient","daycase","class2","class3","class4","proc_group"
"12","2014","A12","Creation of connection from ventricle of brain",1864,1393,924,940,0,482,622,112,177,57,34,13.5,6,40,281,104,46,54,11,11,7,14,8,50,78,76,75,120,113,115,94,109,151,130,129,67,12,3,1,22250,2,2,1,659,734,3,733,1,0,734,0,"Neuro"
"13","2014","A13","Attention to component of connection from ventricle of brain",669,548,282,387,0,277,175,59,37,37,17,6.4,3,28,49,57,62,47,18,18,18,6,3,60,58,43,35,36,35,23,28,18,19,13,9,6,3,0,11,3823,4,8,0,314,234,19,227,7,0,234,0,"Neuro"
"14","2014","A14","Other operations on connection from ventricle of brain",1139,944,533,606,0,512,269,59,104,45,23,9.6,4,31,93,97,68,80,18,20,22,10,4,88,81,82,79,90,71,42,28,43,37,32,28,14,6,2,33,9436,17,17,3,616,328,50,314,14,0,328,0,"Neuro"
"15","2014","A16","Other open operations on ventricle of brain",179,135,92,87,0,58,53,4,20,34,21,20.9,14,37,10,8,14,16,1,2,5,2,1,2,9,12,10,13,14,15,6,7,10,12,7,3,0,0,0,3116,0,0,0,78,57,0,57,0,0,57,0,"Neuro"
"16","2014","A17","Therapeutic endoscopic operations on ventricle of brain",494,406,261,233,0,146,180,31,49,38,24,9.3,4,33,50,41,41,47,5,2,4,5,2,25,21,21,16,23,33,43,18,32,26,19,7,9,2,2,2,3942,0,2,0,195,211,4,209,2,0,211,0,"Neuro"
"17","2014","A18","Diagnostic endoscopic examination of ventricle of brain",38,32,19,19,0,13,12,1,6,34,23,12.3,6,41,1,3,3,1,0,0,2,0,0,2,1,0,0,4,4,5,4,2,2,2,2,0,0,0,0,419,0,0,0,19,13,0,13,0,0,13,0,"Neuro"
"18","2014","A20","Other operations on ventricle of brain",1892,1520,924,968,0,935,361,56,168,56,29,16.2,8,44,59,76,71,58,17,18,14,13,21,97,103,99,99,145,146,161,139,140,152,112,83,39,20,1,82,23693,9,7,1,1103,417,89,397,20,0,417,0,"Neuro"
"19","2014","A22","Operations on subarachnoid space of brain",46,42,23,23,0,13,27,1,1,38,24,12.1,3,44,2,4,1,0,0,0,0,0,1,1,6,1,1,4,3,4,4,0,5,4,2,1,1,0,7,458,0,5,0,14,28,12,21,7,0,28,0,"Neuro"
"20","2014","A24","Graft to cranial nerve",49,49,26,23,0,0,36,13,0,141,73,2.9,2,27,0,3,14,4,0,1,0,1,0,3,1,4,4,2,3,1,4,2,2,0,0,0,0,0,0,144,0,1,0,0,49,1,48,1,0,0,49,"Neuro"
"21","2014","A25","Intracranial transection of cranial nerve",16,16,6,10,0,0,13,3,0,91,84,4.8,4,52,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,1,1,3,2,0,2,0,0,0,5,53,0,1,0,0,16,6,10,6,0,0,16,"Neuro"
"22","2014","A26","Other intracranial destruction of cranial nerve",394,389,155,239,0,12,359,17,1,65,44,1.9,1,64,0,0,0,0,0,0,0,0,0,2,7,7,10,20,28,24,36,42,55,52,48,42,16,5,184,397,1,53,0,13,376,237,150,226,0,376,0,"Neuro"
"23","2014","A27","Extracranial extirpation of vagus nerve (x)",7,6,5,2,0,3,3,0,0,28,28,5,5,50,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,22,0,1,0,3,3,1,3,0,0,3,0,"Neuro"
"24","2014","A28","Extracranial extirpation of other cranial nerve",72,72,25,47,0,3,65,4,0,45,35,3.7,1,64,0,0,0,0,0,0,0,0,0,1,1,2,7,2,3,4,2,5,8,16,8,5,3,4,52,74,1,0,0,3,69,52,19,50,0,69,0,"Neuro"
"25","2014","A29","Excision of lesion of cranial nerve",433,415,193,240,0,21,363,25,6,75,68,11.2,8,49,0,1,4,2,0,1,1,3,2,22,27,38,28,40,47,45,49,40,36,31,12,4,0,0,17,3989,0,5,0,27,388,22,368,20,0,388,0,"Neuro"
"26","2014","A30","Repair of cranial nerve",57,54,45,12,0,35,18,1,0,51,17,1.6,1,32,0,3,3,1,0,2,1,0,0,6,10,8,5,4,6,4,1,2,0,0,0,0,1,0,2,86,7,4,0,35,19,6,17,2,0,19,0,"Neuro"
"27","2014","A31","Intracranial stereotactic release of cranial nerve",14,14,4,10,0,0,13,1,0,43,41,4.3,3,59,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,2,1,0,1,2,1,0,10,17,0,1,0,0,14,11,3,11,0,14,0,"Neuro"
"28","2014","A32","Other decompression of cranial nerve",515,504,200,315,0,15,470,18,1,89,72,4.8,4,54,1,0,0,3,2,1,0,1,0,9,14,26,39,37,56,56,73,55,61,46,22,8,5,0,9,2383,1,1,0,16,488,10,479,9,0,0,488,"Neuro"
"29","2014","A33","Neurostimulation of cranial nerve",704,696,368,336,0,19,600,75,2,85,63,2.5,1,34,0,10,38,52,11,15,19,16,19,89,62,68,51,45,70,42,30,25,11,11,9,8,1,2,235,1087,2,150,1,21,675,385,306,369,0,0,675,"Neuro"
"30","2014","A34","Exploration of cranial nerve",18,18,8,10,0,0,16,1,1,68,43,4.6,2,52,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,1,1,2,2,0,1,1,1,0,4,65,0,1,0,1,17,5,12,5,0,17,0,"Neuro"
"31","2014","A36","Other operations on cranial nerve",1111,1099,439,672,0,36,712,342,9,85,49,2.1,1,58,0,0,0,3,0,1,0,1,4,11,27,57,64,89,95,112,122,99,131,103,64,70,49,6,922,398,13,34,6,45,1054,956,147,907,0,0,1054,"Neuro"
"32","2014","A38","Extirpation of lesion of meninges of brain",1365,1274,435,929,1,146,994,68,66,44,26,10.6,7,57,0,5,0,2,1,2,4,2,3,18,21,44,66,109,164,151,143,144,185,155,95,41,8,1,19,13990,0,2,0,212,1062,21,1046,16,0,1062,0,"Neuro"
"33","2014","A39","Repair of dura",274,238,122,152,0,77,137,10,14,57,36,11.3,6,47,5,4,2,3,0,0,1,1,2,11,14,27,19,15,39,21,30,31,17,20,8,1,0,1,2,2784,0,3,0,91,147,5,144,3,0,147,0,"Neuro"
"34","2014","A40","Drainage of extradural space",426,363,307,119,0,299,11,4,49,49,42,14.5,8,35,6,16,34,23,5,5,4,9,8,46,41,30,27,33,27,31,24,14,16,9,10,5,2,0,1,4622,2,0,1,348,15,1,15,0,0,15,0,"Neuro"
"35","2014","A41","Drainage of subdural space",3612,3049,2510,1102,0,2171,56,19,803,12,9,12.4,8,67,55,19,20,32,10,2,2,11,6,41,40,49,61,101,124,162,186,247,362,400,525,559,419,166,1,40753,14,0,0,2974,75,1,75,0,75,0,0,"Neuro"
"36","2014","A42","Other operations on meninges of brain",64,51,32,32,0,14,28,6,3,72,23,11.5,6,46,1,1,5,3,0,0,0,0,0,1,2,2,5,5,8,9,3,3,5,7,1,2,1,0,1,622,0,1,0,17,34,2,33,1,0,34,0,"Neuro"
"37","2014","A43","Other extirpation of lesion of meninges of brain",139,134,36,103,0,7,115,7,5,62,40,10.5,7,55,0,0,1,1,0,0,1,0,0,1,4,3,5,17,13,15,23,17,14,12,8,2,1,0,0,1261,0,0,0,12,122,0,122,0,0,122,0,"Neuro"
"38","2014","A44","Partial extirpation of spinal cord",697,632,337,360,0,116,437,38,41,50,32,10.2,7,49,16,15,9,14,3,3,3,5,6,31,29,30,46,47,59,60,59,79,78,48,37,9,7,3,1,7016,1,3,0,157,475,4,472,3,0,475,0,"Neuro"
"39","2014","A45","Other open operations on spinal cord",138,114,81,57,0,34,57,12,11,22,11,13.1,8,53,1,5,0,2,2,2,0,1,1,5,3,5,3,11,14,13,11,8,17,13,10,6,4,0,7,1678,0,5,0,45,69,12,63,6,69,0,0,"Neuro"
"40","2014","A47","Other destruction of spinal cord",41,41,21,20,0,0,38,3,0,11,7,1.6,1,64,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,1,5,7,11,5,1,0,0,2,63,0,0,0,0,41,2,39,2,41,0,0,"Neuro"
"41","2014","A48","Other operations on spinal cord",3170,3122,1480,1690,0,66,1859,1189,8,78,57,3,1,51,1,8,2,4,0,0,1,2,1,31,87,158,237,434,553,497,341,269,232,169,102,28,11,0,1475,5026,4,298,0,74,3048,1773,1343,1705,0,3048,0,"Neuro"
"42","2014","A49","Repair of spina bifida",293,241,123,170,0,23,162,22,34,83,67,9.7,7,14,119,41,28,16,3,5,3,1,2,4,5,6,8,8,13,9,13,2,4,3,0,0,0,0,1,2387,1,0,0,57,184,1,183,1,0,184,0,"Neuro"
"43","2014","A51","Other operations on meninges of spinal cord",296,275,117,179,0,52,189,24,10,96,66,11,8,57,1,3,0,1,1,1,0,0,0,3,11,9,15,25,28,29,26,33,34,28,20,19,8,1,81,2376,0,2,0,62,213,83,153,60,0,0,213,"Neuro"
"44","2014","A57","Operations on spinal nerve root",45862,45130,19410,26439,13,366,38616,6114,34,75,52,2.1,0,56,1,31,66,32,25,35,35,43,49,507,1047,1980,2804,4214,5185,5362,4715,4336,4925,4108,3413,1944,759,200,42108,8256,29,2463,18,400,44730,44571,1259,43471,0,44730,0,"Neuro"
"45","2014","A59","Excision of peripheral nerve",431,412,203,228,0,50,351,4,7,78,61,3.1,1,46,35,4,3,1,0,1,0,0,0,16,21,25,21,36,53,57,44,41,32,16,12,7,2,1,270,554,5,29,0,57,355,299,109,246,0,355,0,"Neuro"
"46","2014","A60","Destruction of peripheral nerve",3010,2992,1164,1846,0,8,2338,646,0,80,69,1.5,0,58,0,4,1,1,0,0,1,4,2,34,81,121,153,202,334,333,300,292,279,288,233,187,105,51,2817,247,5,94,0,8,2984,2911,98,2886,0,2984,0,"Neuro"
"47","2014","A61","Extirpation of lesion of peripheral nerve",4691,4678,1295,3396,0,13,4610,55,0,77,59,1.1,1,51,1,4,12,17,6,7,8,13,15,118,193,260,294,495,552,667,622,566,448,209,118,45,14,4,3698,1075,7,394,0,13,4665,4092,596,4069,0,4665,0,"Neuro"
"48","2014","A62","Microsurgical repair of peripheral nerve",2886,2864,2093,793,0,1261,1291,250,62,11,2,1.1,0,37,3,33,31,62,19,40,39,75,74,410,397,286,245,266,270,197,142,106,88,49,20,18,11,2,1016,2003,676,258,19,1323,1541,1274,861,680,1541,0,0,"Neuro"
"49","2014","A63","Other graft to peripheral nerve",58,54,45,13,0,22,26,6,0,58,29,2.7,1,30,3,2,2,4,3,1,1,1,2,9,5,1,3,6,4,6,1,1,2,1,0,0,0,0,7,130,4,2,0,22,32,9,27,5,0,32,0,"Neuro"
"50","2014","A64","Other repair of peripheral nerve",2381,2330,1709,672,0,1198,937,176,19,5,1,0.8,0,35,5,51,40,95,35,34,40,52,53,329,317,252,193,168,214,164,127,84,55,37,12,14,5,1,886,1235,672,136,8,1217,1113,1022,635,478,1113,0,0,"Neuro"
"51","2014","A65","Release of entrapment of peripheral nerve at wrist",50815,50547,17842,32970,3,171,49840,526,10,58,47,0.8,0,60,0,7,8,21,3,4,16,10,25,338,754,1546,2366,3871,5312,6232,5801,4569,4622,4346,4611,3665,1997,642,47612,2552,61,2360,8,181,50366,49972,836,49530,0,50366,0,"Neuro"
"52","2014","A66","Release of entrapment of peripheral nerve at ankle",151,151,56,95,0,0,150,1,0,78,69,1,1,48,0,0,0,0,0,1,2,0,0,6,11,11,7,19,24,22,15,16,8,3,3,2,0,0,97,55,0,20,0,0,151,117,34,117,0,151,0,"Neuro"
"53","2014","A67","Release of entrapment of peripheral nerve at other site",5115,5099,2940,2175,0,13,5034,51,1,69,56,0.8,1,55,0,2,0,6,1,2,3,5,12,84,141,236,279,436,614,685,651,567,542,359,259,149,61,14,4257,718,8,406,1,14,5085,4663,449,4636,0,5085,0,"Neuro"
"54","2014","A68","Other release of peripheral nerve",1440,1435,855,585,0,20,1379,35,1,72,56,1.8,1,50,2,2,7,13,5,8,4,6,8,69,74,78,101,146,187,169,134,125,107,89,58,30,13,1,973,839,5,104,0,21,1414,1077,356,1058,0,1414,0,"Neuro"
"55","2014","A69","Revision of release of peripheral nerve",1425,1419,597,828,0,11,1391,16,1,71,55,1,0,60,0,0,0,0,0,0,1,1,0,10,21,29,74,109,147,172,146,139,152,139,115,99,58,12,1231,199,3,95,1,12,1407,1326,98,1309,0,1407,0,"Neuro"
"56","2014","A70","Neurostimulation of peripheral nerve",6033,6009,1160,4873,0,58,3732,2216,3,70,47,2.6,1,54,4,3,18,65,1,4,13,6,16,185,231,275,318,452,706,760,659,671,600,418,369,162,59,35,5027,2626,12,172,2,61,5948,5199,822,5126,0,5948,0,"Neuro"
"57","2014","A73","Other operations on peripheral nerve",22332,22069,8091,14239,2,536,15809,5702,22,70,49,4.4,1,57,2,7,12,34,10,9,21,42,53,412,697,1032,1255,1803,2503,2581,2298,2030,2049,1755,1513,1179,661,329,20161,9630,67,794,1,558,21511,20955,1326,20185,0,21511,0,"Neuro"
"58","2014","A75","Excision of sympathetic nerve",322,310,139,183,0,4,273,33,0,57,42,2.7,1,40,0,0,1,5,2,1,6,9,4,52,44,33,18,27,36,21,15,9,14,8,5,6,4,2,150,453,0,14,0,4,306,164,150,156,0,306,0,"Neuro"
"59","2014","A76","Chemical destruction of sympathetic nerve",347,327,173,174,0,17,249,61,0,58,37,7.4,1,59,0,1,0,0,0,0,1,2,1,3,8,17,22,24,20,33,37,36,32,31,27,24,15,12,258,576,1,28,0,17,310,286,54,256,0,310,0,"Neuro"
"60","2014","A77","Cryotherapy to sympathetic nerve",32,32,13,19,0,1,23,8,0,46,33,0.3,0,61,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,4,2,1,4,3,4,3,2,0,28,1,0,3,0,1,31,31,1,30,0,31,0,"Neuro"
"61","2014","A78","Radiofrequency controlled thermal destruction of sympathetic nerve",354,353,152,202,0,2,249,102,0,73,62,1.1,0,53,0,0,0,0,0,0,0,0,0,10,12,18,23,49,51,42,26,41,20,16,26,14,4,1,319,28,1,20,0,2,351,339,15,336,0,351,0,"Neuro"
"62","2014","A79","Other destruction of sympathetic nerve",48,47,14,34,0,0,41,6,0,54,42,2.8,1,42,0,0,1,0,1,0,1,0,1,5,8,4,2,5,4,2,4,4,2,1,1,0,1,1,31,44,0,4,0,0,47,35,13,34,0,47,0,"Neuro"
"63","2014","A81","Other operations on sympathetic nerve",4497,4446,1737,2760,0,35,2653,1757,1,75,44,5.5,1,52,0,0,2,4,1,5,4,3,16,81,201,240,361,477,634,545,467,412,381,287,183,116,63,10,4232,1260,4,75,0,36,4410,4307,186,4224,0,4410,0,"Neuro"
"64","2014","A84","Neurophysiological operations",16994,13922,8863,8130,1,2750,8009,2758,405,56,33,6.4,1,35,1244,1873,1334,950,208,170,160,143,172,741,827,748,867,826,970,976,895,768,793,660,618,502,322,151,3367,79114,157,280,9,3155,10767,3647,8456,2311,0,10767,0,"Neuro"
"65","2014","B01","Excision of pituitary gland",276,265,146,130,0,15,236,8,6,49,37,7.2,5,53,0,0,0,1,0,0,1,3,0,7,15,11,24,28,22,31,34,27,26,24,10,11,0,0,1,1932,0,0,0,21,244,1,243,1,0,244,0,"Endocrine"
"66","2014","B02","Destruction of pituitary gland",1,1,0,1,0,0,1,0,0,8,8,NA,NA,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,1,0,1,1,0,0,"Endocrine"
"67","2014","B04","Other operations on pituitary gland",1019,973,562,457,0,69,842,40,22,56,46,6.6,5,54,0,2,10,8,6,2,3,2,0,29,23,48,65,63,103,105,109,124,123,78,63,34,15,1,0,6603,0,2,0,91,882,2,880,2,0,882,0,"Endocrine"
"68","2014","B06","Operations on pineal gland",31,26,13,18,0,7,14,2,3,32,17,9.8,8,30,1,4,3,2,0,0,0,2,0,3,3,0,2,2,1,3,2,1,1,0,1,0,0,0,0,310,0,0,0,10,16,0,16,0,0,16,0,"Endocrine"
"69","2014","B08","Excision of thyroid gland",11362,11294,2233,9129,0,58,11092,133,11,63,45,1.8,1,50,0,4,5,29,20,25,35,34,47,354,648,889,977,1258,1338,1273,1055,916,961,713,469,198,78,18,382,20212,1,207,0,69,11225,589,10643,582,0,11225,0,"Endocrine"
"70","2014","B09","Operations on aberrant thyroid tissue",13,13,4,9,0,0,13,0,0,84,69,2.8,2,51,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,2,1,1,0,1,1,0,0,0,0,34,0,0,0,0,13,0,13,0,0,13,0,"Endocrine"
"71","2014","B10","Operations on thyroglossal tissue",940,937,443,497,0,23,895,18,1,81,64,1.4,1,27,7,171,142,49,12,11,7,12,8,55,40,58,74,46,52,59,44,45,26,11,5,5,0,0,166,1063,1,66,0,24,913,232,688,225,0,913,0,"Endocrine"
"72","2014","B12","Other operations on thyroid gland",1287,1143,328,959,0,126,966,41,10,38,22,8,3,57,1,2,3,6,7,0,1,3,4,29,31,59,79,115,109,149,117,85,123,121,100,90,36,17,847,2942,11,27,8,136,1007,874,323,684,0,1007,0,"Endocrine"
"73","2014","B14","Excision of parathyroid gland",4053,3968,986,3067,0,47,3862,54,5,80,66,1.8,1,61,0,0,0,5,3,1,3,5,5,50,47,86,120,183,307,450,455,519,633,514,370,199,76,8,438,6534,4,209,0,52,3916,647,3291,625,0,3916,0,"Endocrine"
"74","2014","B16","Other operations on parathyroid gland",84,82,18,66,0,3,76,3,0,67,62,1.5,1,61,0,0,0,1,0,0,0,0,0,2,1,1,1,6,3,11,10,11,9,12,8,5,2,1,4,115,0,2,0,3,79,6,73,6,0,79,0,"Endocrine"
"75","2014","B17","Transplantation of thymus gland",2,0,2,0,0,0,0,0,0,NA,NA,65,65,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,"Endocrine"
"76","2014","B18","Excision of thymus gland",308,300,128,180,0,4,291,2,3,32,24,5.7,5,55,0,1,1,2,0,0,0,1,1,12,14,16,18,17,22,28,28,39,43,31,21,8,2,1,1,1715,0,0,0,7,293,1,292,1,0,293,0,"Endocrine"
"77","2014","B20","Other operations on thymus gland",28,25,14,14,0,1,23,1,0,26,16,5.7,3,57,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,4,2,5,2,0,4,4,0,0,6,115,0,2,0,1,24,8,17,7,24,0,0,"Endocrine"
"78","2014","B22","Excision of adrenal gland",763,743,347,416,0,17,687,39,0,53,41,5.1,4,54,4,13,6,0,1,1,0,6,0,7,22,31,40,64,75,89,84,91,97,55,49,15,3,0,3,3750,1,4,0,17,726,7,719,7,0,726,0,"Endocrine"
"79","2014","B23","Operations on aberrant adrenal tissue",5,5,0,5,0,0,5,0,0,24,24,6.3,5,51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,25,0,0,0,0,5,1,4,1,5,0,0,"Endocrine"
"80","2014","B25","Other operations on adrenal gland",240,205,131,108,1,31,144,30,0,19,8,4.5,2,58,5,14,8,1,0,0,0,1,1,0,1,2,3,7,14,13,23,24,33,35,31,18,6,0,78,650,12,18,0,31,174,96,104,70,174,0,0,"Endocrine"
"81","2014","B27","Total excision of breast",18688,18618,1005,17670,13,62,18088,460,8,28,20,2.7,2,59,0,1,0,14,26,20,24,27,39,278,311,498,716,1333,2214,2319,1659,1841,2193,1690,1598,1119,574,176,1365,45684,2,333,0,70,18548,1698,16863,1685,0,18548,0,"Breast"
"82","2014","B28","Other excision of breast",42464,42414,305,42156,3,87,41606,707,14,25,20,1.1,1,56,0,2,1,81,67,142,201,202,272,1198,1151,1173,1558,2696,4569,5736,4472,4996,6101,3590,2345,1305,449,127,28267,15731,23,3049,7,101,42313,31316,11108,31205,42313,0,0,"Breast"
"83","2014","B29","Reconstruction of breast",1914,1897,3,1911,0,25,1538,333,1,106,81,3,2,52,0,0,0,1,0,1,1,1,0,11,14,57,90,191,386,414,271,216,179,68,13,0,0,0,343,4636,2,91,0,26,1871,434,1447,424,0,0,1871,"Breast"
"84","2014","B30","Prosthesis for breast",4470,4427,2,4468,0,335,3710,378,4,80,60,1.8,1,50,0,0,0,0,1,6,10,18,9,121,169,257,333,492,739,772,529,393,347,171,73,20,6,2,1535,5362,24,387,0,339,4088,1922,2330,1758,0,4088,0,"Breast"
"85","2014","B31","Other plastic operations on breast",4622,4616,36,4580,6,20,4128,468,0,92,76,1.4,1,46,0,0,0,3,3,16,32,95,104,415,242,254,269,422,647,726,524,358,323,128,38,9,5,2,690,5446,3,306,0,20,4596,996,3606,990,0,0,4596,"Breast"
"86","2014","B33","Incision of breast",2149,2010,107,2042,0,1420,510,59,21,48,15,2.1,1,44,24,2,2,13,5,8,11,13,19,118,199,252,208,230,286,206,127,118,132,67,59,23,18,6,283,3737,383,44,3,1441,569,327,482,87,0,569,0,"Breast"
"87","2014","B34","Operations on duct of breast",2872,2866,24,2848,0,12,2813,41,0,38,28,0.8,1,52,0,1,0,0,0,2,2,2,2,39,100,174,256,402,429,323,254,245,253,178,140,51,16,0,2445,346,7,151,0,12,2854,2596,274,2580,0,2854,0,"Breast"
"88","2014","B35","Operations on nipple",1225,1217,171,1054,0,34,1150,33,0,52,32,1.1,1,42,2,5,7,44,21,12,24,18,20,98,96,121,98,127,145,96,59,45,58,49,37,16,18,8,1092,166,14,37,0,34,1183,1129,93,1090,0,1183,0,"Breast"
"89","2014","B36","Reconstruction of nipple and areola",3664,3663,32,3632,0,1,2383,1279,0,95,73,0.8,1,52,0,0,0,0,1,2,1,1,3,16,28,103,178,389,705,940,572,368,262,76,15,2,0,0,3239,356,0,169,0,1,3662,3408,256,3406,0,0,3662,"Breast"
"90","2014","B37","Other operations on breast",5128,5027,74,5053,1,767,3558,695,7,104,87,2,1,51,6,2,1,10,3,12,8,25,28,137,169,235,304,509,861,901,621,447,410,201,115,79,27,13,2741,4554,251,346,0,774,4253,3087,1693,2560,0,0,4253,"Breast"
"91","2014","B38","Reconstruction of breast using flap of skin of buttock",16,16,0,16,0,0,11,5,0,251,162,6.4,6,51,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,1,0,2,1,0,0,0,0,1,96,0,0,0,0,16,1,15,1,0,0,16,"Breast"
"92","2014","B39","Reconstruction of breast using abdominal flap",1087,1063,0,1087,0,9,793,260,1,157,125,5.8,6,52,0,0,0,0,0,0,0,0,0,0,2,27,42,116,255,313,159,84,73,13,2,0,1,0,16,6160,0,8,0,10,1053,24,1030,23,0,0,1053,"Breast"
"93","2014","B40","Destruction of lesion of breast",8,8,0,8,0,0,8,0,0,21,14,NA,NA,45,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,8,NA,0,0,0,0,8,8,0,8,8,0,0,"Breast"
"94","2014","C01","Excision of eye",703,691,402,301,0,80,580,28,3,40,19,3,1,59,13,28,7,3,1,2,3,2,0,11,16,12,21,33,42,57,48,68,69,55,79,56,48,28,101,1915,2,15,1,83,608,116,508,100,0,608,0,"Ocular"
"95","2014","C02","Extirpation of lesion of orbit",280,273,144,136,0,2,261,8,2,76,51,1.8,1,38,6,52,15,13,2,0,1,1,2,18,11,7,11,14,18,17,12,10,20,17,11,12,8,2,166,192,1,9,0,4,269,175,101,168,0,269,0,"Ocular"
"96","2014","C03","Insertion of prosthesis of eye",237,237,147,90,0,4,225,8,0,91,54,1.3,1,35,4,45,33,14,0,1,0,1,3,8,5,9,2,10,9,17,14,13,15,12,12,5,2,3,146,119,2,6,0,4,233,152,84,149,0,0,233,"Ocular"
